2023-02-12 16:10:00 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:10:00 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:10:01 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:10:01 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:10:02 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:10:02 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:10:52 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:10:53 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:11:26 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:12:44 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:42 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:44 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:44 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:45 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:45 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:46 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:46 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:47 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:47 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:48 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:48 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:48 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:49 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:49 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:50 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:51 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:51 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:51 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:52 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:52 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:53 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:53 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:53 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:54 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:54 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:55 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:55 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:56 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:56 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:56 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:57 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:57 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:58 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:58 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:58 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:13:59 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:59 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:13:59 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:13:59 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:00 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:00 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:01 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:01 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:01 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:01 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:02 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:02 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:05 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:05 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:14:06 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:07 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:07 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:14:08 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:14:08 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:17:20 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 19:05:28 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:15:05 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:15:59 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:15:59 ERROR TelegramMessageHandlerImpl:40 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:22:24 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:22:24 ERROR TelegramMessageHandlerImpl:46 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:23:37 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:23:37 ERROR TelegramMessageHandlerImpl:46 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:24:57 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:25:00 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:25:07 ERROR TelegramMessageHandlerImpl:47 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:34 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:34 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:49 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:49 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:50 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:50 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:51 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:51 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:52 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:52 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:53 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:53 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:54 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:54 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:55 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:55 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:55 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:55 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:56 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:56 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:56 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:56 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
